turn_number,feature,n_doctronic,n_drkhan,mean_doctronic,mean_drkhan,U,p_raw,p_fdr,effect_r,sig_fdr,inferential_status,fdr_scope
2,medication_specificity,1011,1000,0.003956478733926805,0.214,426733.0,4.6845838739563516e-38,9.369167747912703e-38,0.15581998021760635,True,exploratory_turn2,global_all_turn_x_feature_tests
2,differential_count,1011,1000,0.01582591493570722,0.354,371512.0,7.001598156269908e-63,2.008005508967974e-62,0.26506033630069237,True,exploratory_turn2,global_all_turn_x_feature_tests
2,emergency_advice,1011,1000,0.03560830860534125,0.027,509851.5,0.2680414002752355,0.28391841701627735,-0.00860830860534123,False,exploratory_turn2,global_all_turn_x_feature_tests
2,safety_warning_count,1011,1000,0.2878338278931751,0.315,507638.5,0.7982107624452313,0.8008451213971957,-0.004230464886251228,False,exploratory_turn2,global_all_turn_x_feature_tests
2,risk_language_score,1011,1000,0.3264094955489614,0.438,505350.0,0.9858429941809168,0.9858429941809168,0.00029673590504453173,False,exploratory_turn2,global_all_turn_x_feature_tests
2,empathy_score,1011,1000,0.17012858555885263,0.733,362185.5,4.542215269454914e-52,1.141184662739086e-51,0.28351038575667653,True,exploratory_turn2,global_all_turn_x_feature_tests
2,reassurance_count,1011,1000,0.0019782393669634025,0.001,505994.5,0.5703114651120195,0.5798484461339596,-0.000978239366963507,False,exploratory_turn2,global_all_turn_x_feature_tests
2,politeness_count,1011,1000,0.49653808110781406,0.697,414164.0,4.180424696102698e-15,5.623226139890355e-15,0.1806844708209694,True,exploratory_turn2,global_all_turn_x_feature_tests
3,word_count,984,975,43.733739837398375,287.6666666666667,27536.0,1.0047423152227033e-285,7.636041595692545e-284,0.9425974567437982,True,exploratory_turn3,global_all_turn_x_feature_tests
3,sentence_count,984,975,2.6504065040650406,13.865641025641025,24573.5,2.1877340951126473e-293,2.216903883047483e-291,0.9487731915780696,True,exploratory_turn3,global_all_turn_x_feature_tests
3,avg_sentence_length,984,975,16.22305894308943,20.28046153846154,222070.5,3.930480902783636e-94,1.4751434499336114e-93,0.5370637898686679,True,exploratory_turn3,global_all_turn_x_feature_tests
3,paragraph_count,984,975,1.0,7.464615384615384,182040.0,1.0439410396433662e-188,1.1334217001842262e-187,0.6205128205128205,True,exploratory_turn3,global_all_turn_x_feature_tests
3,question_count,984,975,1.399390243902439,1.2687179487179487,509386.0,0.009390231996234493,0.010380474643110132,-0.06188451115280391,True,exploratory_turn3,global_all_turn_x_feature_tests
3,mattr,984,975,0.9059938008130081,0.8368464615384617,759635.5,5.472667416918531e-111,2.3767012782046193e-110,-0.5835636856368565,True,exploratory_turn3,global_all_turn_x_feature_tests
3,flesch_reading_ease,984,975,75.56550813008131,47.18124102564102,908335.0,5.8733906461258676e-257,1.1159442227639148e-255,-0.8935480508651241,True,exploratory_turn3,global_all_turn_x_feature_tests
3,avg_word_length,984,975,4.3936626016260165,5.1270338461538465,91542.0,4.222003268352702e-211,5.347870806580089e-210,0.8091682301438399,True,exploratory_turn3,global_all_turn_x_feature_tests
3,medical_term_count,984,975,0.027439024390243903,1.484102564102564,193589.0,4.8180720707439745e-170,3.8544576565951796e-169,0.5964373566812591,True,exploratory_turn3,global_all_turn_x_feature_tests
3,urgency_score,984,975,0.16565040650406504,0.8902564102564102,315520.5,3.8836780898808216e-70,1.2974045487074393e-69,0.34225453408380235,True,exploratory_turn3,global_all_turn_x_feature_tests
3,warning_signs_count,984,975,0.7296747967479674,2.33025641025641,202260.5,4.536513964836764e-118,2.058358575090114e-117,0.578360433604336,True,exploratory_turn3,global_all_turn_x_feature_tests
3,medication_specificity,984,975,0.056910569105691054,0.6953846153846154,266205.0,8.008861588861098e-110,3.4291463704419346e-109,0.4450594121325828,True,exploratory_turn3,global_all_turn_x_feature_tests
3,differential_count,984,975,0.041666666666666664,1.6553846153846155,104466.5,4.690219069730282e-247,7.12913298599003e-246,0.7822253491765687,True,exploratory_turn3,global_all_turn_x_feature_tests
3,emergency_advice,984,975,0.051829268292682924,0.059487179487179485,476026.5,0.4598926771276203,0.47715827251466403,0.007657911194496547,False,exploratory_turn3,global_all_turn_x_feature_tests
3,safety_warning_count,984,975,0.33739837398373984,2.124102564102564,214980.5,1.2469185744982904e-124,6.214151584384922e-124,0.5518438607462998,True,exploratory_turn3,global_all_turn_x_feature_tests
3,risk_language_score,984,975,0.47865853658536583,2.072820512820513,226726.5,1.8735519649786614e-113,8.25448981671758e-113,0.5273577235772358,True,exploratory_turn3,global_all_turn_x_feature_tests
3,empathy_score,984,975,0.0782520325203252,0.18871794871794872,440251.0,3.1838676466039814e-11,4.03289901903171e-11,0.0822368146758391,True,exploratory_turn3,global_all_turn_x_feature_tests
3,reassurance_count,984,975,0.0,0.028717948717948718,466908.0,2.532466698085492e-07,3.042963937620512e-07,0.026666666666666616,True,exploratory_turn3,global_all_turn_x_feature_tests
