model,feature,term,coef,ci_lower,ci_upper,p_raw,feat_mean,feat_std,fdr_scope,ordinal_approx,model_type,p_fdr
doctronic,word_count,C(race)[T.Asian],0.0055259943628111095,-0.1217149037612034,0.13276689248682563,0.9321659610588243,42.54640813731723,40.11244318214528,within_model_x_feature_demographic_terms,False,MixedLM,0.9692503211732802
doctronic,word_count,C(race)[T.Black],0.08290979579104918,-0.04267028300015155,0.2084898745822499,0.19566654369576109,42.54640813731723,40.11244318214528,within_model_x_feature_demographic_terms,False,MixedLM,0.3664764254888033
doctronic,word_count,C(race)[T.Hispanic],0.030383505997393707,-0.09699923744354855,0.15776624943833595,0.6401469935997026,42.54640813731723,40.11244318214528,within_model_x_feature_demographic_terms,False,MixedLM,0.7898809470382597
doctronic,word_count,C(race)[T.White],0.09184734203596875,-0.03548560602622619,0.2191802900981637,0.15743410300000393,42.54640813731723,40.11244318214528,within_model_x_feature_demographic_terms,False,MixedLM,0.310015785017131
doctronic,word_count,C(gender)[T.male],-0.044643374553796626,-0.12422547053364696,0.034938721426053705,0.2715561049607246,42.54640813731723,40.11244318214528,within_model_x_feature_demographic_terms,False,MixedLM,0.46060401283898716
doctronic,word_count,C(symptom)[T.back pain],0.05954878156322596,-0.1296507665525728,0.24874832967902472,0.537313705396905,42.54640813731723,40.11244318214528,within_model_x_feature_demographic_terms,False,MixedLM,0.7134753407039245
doctronic,word_count,C(symptom)[T.chest pain],2.0802174264115454,1.9076502890191898,2.252784563803901,2.060867058251799e-123,42.54640813731723,40.11244318214528,within_model_x_feature_demographic_terms,False,MixedLM,6.583325324971025e-122
doctronic,word_count,C(symptom)[T.dizziness],-0.009199155405708493,-0.1990846124304573,0.18068630161904034,0.9243529138486174,42.54640813731723,40.11244318214528,within_model_x_feature_demographic_terms,False,MixedLM,0.9674309977175685
doctronic,word_count,C(symptom)[T.fatigue],-0.01796309405423147,-0.20768694446810282,0.1717607563596399,0.852782136536581,42.54640813731723,40.11244318214528,within_model_x_feature_demographic_terms,False,MixedLM,0.9286926676297994
doctronic,word_count,C(symptom)[T.fever],-0.006280448954704742,-0.19606524094049507,0.18350434303108556,0.9482854179041359,42.54640813731723,40.11244318214528,within_model_x_feature_demographic_terms,False,MixedLM,0.9786068845870705
doctronic,word_count,C(symptom)[T.headache],1.5536872985880739,1.3874481998826034,1.7199263972935444,5.943612923403818e-75,42.54640813731723,40.11244318214528,within_model_x_feature_demographic_terms,False,MixedLM,1.1784749761921364e-73
doctronic,word_count,C(symptom)[T.palpitations],-0.0017593065619083384,-0.19150686689950816,0.18798825377569148,0.9855012830500884,42.54640813731723,40.11244318214528,within_model_x_feature_demographic_terms,False,MixedLM,0.9923389810328069
doctronic,word_count,C(symptom)[T.shortness of breath],-0.044541133936383294,-0.23270056342387477,0.1436182955511082,0.6426742358104628,42.54640813731723,40.11244318214528,within_model_x_feature_demographic_terms,False,MixedLM,0.7913012539422186
doctronic,word_count,C(symptom)[T.skin rash],0.005904635507999245,-0.1838805180485513,0.19568978906454979,0.9513760843202997,42.54640813731723,40.11244318214528,within_model_x_feature_demographic_terms,False,MixedLM,0.9786068845870705
doctronic,word_count,turn_number,0.03370158437412526,0.03117833629872613,0.03622483244952439,4.717076810308309e-151,42.54640813731723,40.11244318214528,within_model_x_feature_demographic_terms,False,MixedLM,2.086399358405598e-149
doctronic,word_count,age_numeric,0.0007620127866412223,-0.0012361690201267235,0.002760194593409168,0.45479903219070006,42.54640813731723,40.11244318214528,within_model_x_feature_demographic_terms,False,MixedLM,0.6505210037553545
doctronic,word_count,severity_num,0.18554044095836117,0.1373225718504585,0.23375831006626382,4.6330294393531385e-14,42.54640813731723,40.11244318214528,within_model_x_feature_demographic_terms,False,MixedLM,4.162487386918835e-13
doctronic,sentence_count,C(race)[T.Asian],0.019095940605406626,-0.10456552437092917,0.14275740558174244,0.7621491268785534,2.570883661792753,2.3747789295285213,within_model_x_feature_demographic_terms,False,MixedLM,0.8725785519994965
